Filename,Protocole,echantillon,Impacts potentiels,Extrait pertinent,Évaluation d'invasivité,Justification d'invasivité,Péchés identifiés,Taux de confiance,annonce_invasivite,justification_annonce_invasivite
Molecular Ecology Resources - 2015 - Mumma - Evaluating noninvasive genetic sampling techniques to estimate large carnivore,Collecte d'échantillons de fèces et de cheveux,Fèces et cheveux,[],"['Scat detection dogs located 185 and 193 samples in the LP and NP', 'Eighteen hair samples were collected in the LP']",Non invasif,La collecte de fèces et de cheveux est considérée comme non invasive car elle ne nécessite pas de contact direct avec l'animal vivant et n'affecte pas le comportement naturel ni l'habitat.,[],"80% - La méthode est décrite comme opportuniste, mais il manque des informations sur la fréquence de l'échantillonnage.",,
ramalho_et_al_mammalia2014,Collecte de fèces de loups à crinière,Fèces,"['Perturbation du comportement naturel', ""Impact potentiel sur l'habitat""]","[""Entre octobre 2008 et décembre 2009, nous avons mené des expéditions de terrain de deux jours une fois par mois à l'intérieur et autour de la JES. Cette zone protégée est traversée par des routes en terre sur toute son étendue. Lors de chaque expédition, nous avons cherché des fèces sur les routes en terre à l'intérieur et autour de la JES, couvrant environ 200 km de routes."", 'Sur la base des traces et du diamètre/morphologie des fèces (Dalponte 1997, Chame 2003), nous avons collecté 41 échantillons de fèces distincts de loups à crinière']",Invasif,"La collecte de fèces est effectuée sur une base systématique, ce qui peut affecter le comportement naturel des animaux et perturber leur habitat.",[],"85% - Les termes utilisés dans le protocole indiquent une collecte systématique, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que la collecte de fèces de loups à crinière est non invasive.
Molecular species identification for multiple carnivores,"Echantillonnage d'ADN à partir de cheveux, fèces et échantillons de sang/tissus","Cheveux, fèces et échantillons de sang/tissus","['Stress pour les animaux', 'Blessures potentielles']","['We validated the method on 274 known hair (n = 60), fecal (n = 115), and blood/tissue samples (n = 99) of 21 wild carnivores from five families Samples were preserved in 95 % ethanol.', 'species identification of hair, feces, saliva or degraded tissue samples']",Invasif,"Le protocole implique la collecte de fèces et d'échantillons de sang/tissus, ce qui nécessite un contact direct avec l'animal vivant ou sa capture/manipulation. Cela remplit le critère d'invasivité 'Contact direct avec l'animal vivant' ou 'Capture ou manipulation de l'animal vivant'.",[1],95% - La méthodologie est explicitement détaillée dans le texte.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
SCHMIDT_et_al-2016-Integrative_Zoology,Échantillonnage d'ADN chez les lynx,Sang et poils,"['Stress pour les animaux capturés', 'Blessures potentielles causées par les pièges']","['We collected data on lynx spatial distribution by two supplementary methods: live-trapping for the telemetry monitoring and genotyping of hair samples obtained by hair-trapping', 'Five male and six female lynx were live-trapped using either foot-snare traps', 'Blood samples (1 ml) for genetic analyses were drawn from a radial vein with an EDTA vacutainer, and stored frozen at -20°C.', 'Six radio-tracked lynx were also monitored genetically by hair-sampling']",Invasif,"Le protocole implique la capture des lynx (live-trapped) et la manipulation pour prélever les échantillons de sang (drawn from a radial vein), ce qui remplit deux critères d'invasivité : contact direct avec l'animal vivant et capture ou manipulation de l'animal vivant.","[1, 3]",100% - La méthodologie est explicitement détaillée et utilise des termes clairs.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
SCHMIDT_et_al-2016-Integrative_Zoology,Échantillonnage d'ADN chez les lynx,Cheveux (hair),"['Stress pour les animaux', 'Blessures potentielles']","['In total, 349 lynx-hair samples were collected during the study.', 'We analysed 11 blood samples collected from live-trapped lynx.']",Invasif,"Le protocole implique la capture et la manipulation des animaux vivants pour prélever les échantillons de sang, ce qui remplit le critère d'invasivité 'Contact direct avec l'animal vivant'.",[3],100% - La méthodologie est explicitement détaillée.,Non,"Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage d'ADN chez les lynx n'est pas présenté dans le titre comme non invasif. Dans le corps de l'article, il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif."
SCHMIDT_et_al-2016-Integrative_Zoology,Échantillonnage d'ADN chez les lynx,Cheveux,"['Stress pour les animaux capturés', 'Perturbation du comportement naturel']",['We identified twenty eight lynx individuals (...) by genotyping either the live-captured and radio-tracked lynx (...) or hair-trapped samples (...).'],Invasif,"Le protocole implique la capture et le suivi radio des lynx, ce qui représente un contact direct avec l'animal vivant et une modification de son comportement naturel.",[3],100%,Non,"Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage d'ADN chez les lynx est mentionné dans le corps de l'article comme ayant été utilisé pour identifier des individus, mais il n'y a aucune phrase indiquant explicitement que ce protocole est non invasif."
DeMay_etal_2015,Collecte de fèces pour analyse génétique,Fèces,['Perturbation du comportement naturel des animaux'],"['During December 2012 and January 2013, after fresh snowfall, we conducted surveys on and around the release sites to locate active burrows and collect fecal pellets for genetic analysis.', 'We collected fecal pellet samples from the snow surface and ! 4 pellets/sample were collected when possible to ensure an adequate amount of DNA for analysis.', 'During winter, we surveyed for rabbit sign around the release site and collected 117 fecal samples for genetic analysis.']",Invasif,"Le protocole implique la collecte de fèces, ce qui peut être considéré comme invasif selon les critères spécifiques aux mammifères. La collecte est dépendante de la neige et n'est pas opportuniste ou ponctuelle. Il n'y a pas de mention de l'utilisation d'appâts ou leurres.",[1],85% - Les termes utilisés dans le protocole sont explicites et permettent une déduction solide.,Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas présenté dans le titre comme non invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que la collecte de fèces pour analyse génétique est non invasive.
Rocha_etal2015,Collecte de pellets d'effraie,Pellets d'effraie,[],"['Barn owl pellets were collected in two different areas of the mid-Araguaia River in central Brazil in 2007 and 2008', 'We extracted DNA from bones found in Barn owl pellets']",Non invasif,"Les pellets sont des excréments naturels abandonnés par les oiseaux, ce qui correspond à une méthode non invasive selon la définition de Taberlet et al. (1999). Il n'y a pas de mention de capture ou de manipulation d'oiseaux, ni d'utilisation d'appâts ou leurres.",[],80% - La méthodologie est implicitement forte car elle est basée sur des éléments permettant une déduction solide.,,
Leroneetal_2014_NGSprotocols_Lutra_Acceptedtosend,Collecte d'échantillons de fèces,Fèces (spraints),"[""Stress pour l'animal"", 'Perturbation du marquage territorial']","['Spraints and anal jellies were collected along the Sangro River and its main tributaries.', 'Despite the fact that temperature could be a critical issue for DNA degradation (Hájková et al. 2006), we decided to collect samples during the warm period as most of the marking sites were unreachable during winter.', 'Sites were then checked daily until fresh samples were collected within 24 hours of deposition.']",Invasif,"La collecte quotidienne de fèces est une indication d'invasivité selon les règles spécifiques aux mammifères. La collecte est décrite comme étant le long de la rivière et de ses principaux affluents, ce qui suggère une collecte opportuniste plutôt qu'une collecte systématique ou exhaustive. Il n'y a pas de mention de capture ou de manipulation des animaux.",[2],70% - Implicite fort,Non,"Le titre de l'article mentionne explicitement que les échantillons sont non-invasifs, mais il ne précise pas spécifiquement la méthode de collecte des fèces. Le corps de l'article ne contient aucune déclaration explicite ou implicite sur la non-invasivité de cette méthode."
Ciucci-Estimatingabundanceremnant-2015,Échantillonnage de poils,Poils,"['Stress pour les animaux', ""Perturbation de l'habitat""]","['We installed hair traps on 97 of them from June to September 2011', 'At each buckthorn site, we constructed 1-4 peripheral hair traps by encircling cohesive buckthorn aggregations with double-stranded barbed wire at 30 and 50 cm high to make cubs accessible to sampling.', 'We concurrently adopted 4 noninvasive sampling methods to collect bear hair for genetic analysis. We used traditional hair-trap sampling (Wood et al. 1999) as a primary sampling method.']",Invasif,"Le protocole implique la construction de pièges à poils et leur installation sur les arbustes, ce qui représente un contact direct avec l'animal vivant et une modification du comportement naturel. Cependant, il est également mentionné que des méthodes d'échantillonnage non invasives ont été utilisées pour collecter des poils d'ours.",[],80% - La méthodologie est explicitement détaillée mais il manque des informations sur la manière dont les échantillons ont été prélevés une fois que les pièges ont été installés.,Non,"Le titre de l'article mentionne explicitement 'noninvasive genetic data sources', mais il n'y a pas de déclaration explicite ou implicite dans le corps de l'article concernant la non-invasivité du protocole d'échantillonnage de poils."
Wilton-Spatiotemporalfactorsaffecting-2016,Collecte d'échantillons de poils chez les ours noirs,Poils,"['Stress pour les animaux', 'Blessures potentielles', 'Modification du comportement naturel']","[""Nous avons collecté des échantillons de poils d'ours noirs à l'aide de pièges à poils en fil barbelé"", ""Nous avons capturé des ours à l'aide de pièges Aldrich et enregistré le sexe avant de prélever des échantillons de poils et de tissu pour la génotypage microsatellite."", ""Nous avons également prédit que la collecte d'échantillons de poils augmenterait avec la fréquence de visite des ours aux pièges à poils.""]",Invasif,"Le protocole implique la capture des ours et l'utilisation de leurres pour augmenter le rendement des pièges à poils, ce qui modifie le comportement naturel des ours.","[3, 2]",100%,Non,"Le titre de l'article mentionne explicitement 'noninvasive capture-recapture surveys', mais il ne précise pas que la collecte d'échantillons de poils chez les ours noirs est non invasive. Il n'y a pas de phrase dans le corps de l'article qui indique explicitement que ce protocole est non invasif."
American J Primatol - 2013 - Müller - Towards the non‐invasive assessment of MHC genotype in wild primates  Analysis of,Collecte d'échantillons de fèces chez les macaques Assamese,Fèces,[],['Fecal samples were available from 64 Assamese macaques'],Non invasif,"Les échantillons de fèces étaient disponibles, ce qui indique qu'ils ont été collectés sans capture ou manipulation des animaux. Il n'y a pas de mention de collecte systématique ou exhaustive.",[],70% - Implicite fort,,
American J Primatol - 2013 - Müller - Towards the non‐invasive assessment of MHC genotype in wild primates  Analysis of,Extraction d'ADN à partir d'un échantillon non spécifié,Non spécifié,[],"[""We extracted two independent samples per individual with the All-tissue DNA-Kit (Gen-Ial) following manufacturer's instructions.""]",Non invasif,"Le protocole mentionne l'utilisation de deux échantillons indépendants par individu, ce qui suggère que les échantillons sont prélevés sans contact direct avec l'animal vivant et sans perturbation du comportement naturel.",[],70% - Implicite fort,,
15081109ACC2015.17.2.005,Sampling of Mammal Tissue and Guano,Tissus et Guano (fèces),"['Stress pour les chauves-souris', 'Blessures potentielles causées par les pièges', ""Perturbation de l'habitat"", 'Modification du comportement naturel']","['We sampled eight populations...', 'Tissue samples were stored in microcentrifuge tubes containing 95% ethanol and kept at room temperature for short-term storage, followed by long-term storage at -20°C.', 'Maternity colony bats were captured via harp traps placed at the cave entrance and sampled following wing tissue procedures described for the other sampling locales.', 'We collected between 30-100 guano samples per cave.', 'For those sampling locales where only guano was collected, we randomly selected 30-40 samples for inclusion in the study.']",Invasif,"Le protocole implique la capture des chauves-souris via des pièges à harpe placés à l'entrée de la grotte et la collecte systématique de guano dans les grottes, ce qui entraîne un contact direct avec les animaux vivants et une modification du comportement naturel. Cela remplit donc au moins deux critères d'invasivité.","[3, 1]",100% - La méthodologie est explicitement détaillée dans le protocole.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
Zoonoses and Public Health - 2013 - Kauffman - Early Detection of Brucella Canis via Quantitative Polymerase Chain Reaction,Échantillonnage d'ADN chez les mammifères,Sang total et tissus,"[""Stress pour l'animal"", 'Blessures potentielles']","['Whole-blood samples and tissues were obtained on-site', ""DNA purification from blood, urine, tissue and cotton swab samples was performed using the Qiagen QIAamp DNA isolation kit according to manufacturer's protocol""]",Invasif,Le protocole implique un contact direct avec l'animal vivant et une capture ou manipulation de l'animal vivant.,"[1, 3]",95% - Les termes utilisés dans le protocole sont explicites et indiquent clairement une méthode invasive.,Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre et il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif dans le corps de l'article.
Wildlife Society Bulletin - 2015 - Lonsinger - Evaluating the reliability of field identification and morphometric,Collecte de fèces pour l'analyse d'ADN,Fèces,"['Perturbation du comportement naturel', 'Impact sur le marquage territorial']","['We conducted surveys for carnivore scats in the winter and summer of 2013 along transects...', ""When a carnivore scat was encountered, we determined field identification by inspecting the scat's morphology,..."", 'We then collected a fecal DNA sample (approx. 0.7 mL) from the side of the scat,...']",Invasif,"Le protocole implique la collecte systématique de fèces le long de transects, ce qui peut être considéré comme invasif selon les critères spécifiques aux mammifères. La collecte est exhaustive et régulière sur le même territoire.",['2'],100%,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole de collecte de fèces pour l'analyse d'ADN est décrit dans le corps de l'article mais il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif.
Conservation Biology - 2016 - Woodruff - Estimating Sonoran pronghorn abundance and survival with fecal DNA and capture,Collecte de fèces chez les pronghorns,Fèces,"['Perturbation du comportement naturel', 'Impact sur le marquage territorial']","['In May-June 2013 and 2014, we collected fecal samples 3-4 times (6-7 total) at intervals of 7 d at all 17 artificial water holes likely to be used by pronghorn', 'We classified fecal samples in the field through visual inspection of size and morphology as adult (>1 year old) or fawn (<1 year old). Each sample for which DNA was successfully amplified was considered a detection.']",Invasif,"La collecte de fèces est effectuée de manière systématique, ce qui peut perturber le comportement naturel des animaux et affecter leur territoire. Cela remplit donc le critère d'invasivité.",[1],95% - La méthodologie est détaillée et permet une déduction solide.,Non,"Le titre de l'article ne mentionne pas explicitement que le protocole est non invasif. De plus, il n'y a aucune phrase dans le corps de l'article qui indique explicitement ou implicitement que la collecte de fèces chez les pronghorns est une méthode non invasive."
1-s2.0-S0006320712005083-main,Analyse génétique de fèces chez les loups,Fèces,"['Perturbation du comportement naturel des loups', ""Modification de l'habitat""]","['In addition, Creel et al. (2003) used a wolf (Canis lupus) population of known size (41) to assess the impact of genotyping error on population size estimates from a census based on genetic analysis of feces and were able to tally 39 individuals']",Invasif,"Le protocole implique l'analyse génétique de fèces, ce qui est considéré comme invasif selon les critères spécifiques aux mammifères. La collecte de fèces peut être considérée comme non invasive si elle est ponctuelle et opportuniste, mais cela n'est pas précisé dans le texte.",[2],70% - Implicite fort,Manque d'informations,"Le titre ne contient pas de déclaration globale de non-invasivité, ni une mention explicite du protocole détecté comme invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif."
1-s2.0-S0006320712005083-main,Estimation de l'occupation à partir de surveys pour détecter les signes d'éléphants (piles de fèces) dans tous les sites sélectionnés dans le paysage,Fèces,[],"['In a first phase, estimating occupancy from surveys to detect elephant sign (dung piles) in all selected sites in the landscape']",Non invasif,"La collecte est ponctuelle et opportuniste, ce qui ne cause pas de perturbation significative pour les animaux. Il n'y a pas de capture ou manipulation des animaux.",['2'],100%,,
1-s2.0-S0006320712005083-main,Collecte opportuniste de fèces,Fèces,[],"['From 16 September 2004 to 3 March 2005, we conducted a pilot survey...', 'We analyzed 267 dung samples, of which 215 (81%) yielded sufficient genotypic information for analysis.']",Non invasif,"La collecte de fèces est considérée comme non invasive selon la définition de Taberlet et al. (1999), car elle n'implique pas de contact direct avec l'animal vivant ni de perturbation significative de son habitat.",[],"80% - Justification : La collecte de fèces est explicitement mentionnée, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",,
wu2016,Prélèvement d'échantillons de soufflet chez les dauphins,Échantillons de soufflet,"['Stress potentiellement subi par les dauphins vivants avant leur mort', 'Impact sur le comportement des autres animaux dans la région']","['Blowhole samples with sterile cotton or synthetic swabs were collected at necropsy from bottlenose dolphins that stranded dead or stranded live and then died in the coastal region of Virginia, South Carolina and northern Florida, USA, between 2013 and 2015.', 'The tip was inserted into the blowhole, and the walls of the blowhole were swiped down to about 1-3 inches (~2.5-7.5 cm).', 'Blowhole swabs are a simple and non-invasive method for collecting samples from cetaceans']",Invasif,"Les échantillons ont été prélevés sur des dauphins qui étaient déjà morts ou qui ont été capturés vivants et sont morts par la suite. Cela implique un contact direct avec l'animal vivant, même s'il était déjà mort au moment du prélèvement.",['3'],100% - La méthodologie est explicitement détaillée et ne laisse pas de place à l'interprétation.,Non,Le titre ne mentionne pas explicitement que le protocole est non invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le prélèvement d'échantillons de soufflet chez les dauphins est non invasif.
wu2016,Extraction d'ADN à partir d'échantillons de soufflet et de poumons,Échantillons de soufflet et de poumons,"['Blessure potentielle causée par la coupe des tissus', ""Stress potentiellement causé à l'animal lors de la manipulation""]","[""Genomic DNA was extracted from blowhole swab and lung samples using QIAamp DNA mini kit (Qiagen) according to the manufacturer's instructions."", 'Twenty to 25 mg of lung samples were cut using carbon-steel scalpel blades for DNA extraction.']",Invasif,"Le protocole implique la manipulation et la coupe des échantillons de poumons, ce qui remplit le critère d'invasivité 'Contact direct avec l'animal vivant'.",[3],100% - La méthodologie est explicitement détaillée.,Non,"Le titre de l'article ne mentionne pas explicitement que le protocole est non invasif. De plus, dans le corps de l'article, il est mentionné que les échantillons ont été prélevés sur des dauphins qui étaient déjà morts ou qui ont ensuite mourir après avoir été échoués, ce qui indique une certaine invasivité du protocole."
Balestrieri_etal_2014_EcolRes,Échantillonnage de fèces de mammifères,Fèces,"[""Perturbation de l'habitat"", 'Modification du comportement naturel']","[""Sampling was conducted between October 2011 and June 2012 along linear transects drawn along wood/field margins, paths and country roads to cover both open and forested habitats. Transects were surveyed 1-3 times each (mean ± SD = 2.44 ± 0.87). A portion (ca. 1 cm) of each 'marten-like' faeces (i.e. <10 mm large and then suspected to belong to the pine marten; for more details on faeces identification, see Remonti et al. 2012) was picked up using sticks stored in autoclaved tubes containing ethanol 96 % and frozen at -20 °C until processed (Ruiz-Gonza´lez et al. 2008)."", 'To assess habitat use at transect-scale, faecal samples were georeferenced and assigned to a habitat type.']",Invasif,"La collecte est régulière et systématique le long de transects, ce qui peut perturber l'habitat et modifier le comportement naturel des animaux. De plus, la collecte de fèces est exhaustive sur l'ensemble du transect.",[2],"85% - Les termes 'systematic' et 'regular' indiquent une collecte régulière et systématique, ce qui est suffisant pour déduire une invasivité selon les critères.",Non,L'article ne contient pas de déclaration explicite ou implicite indiquant que le protocole d'échantillonnage de fèces de mammifères est non invasif.
"Scat detection dogs, DNA and species distribution modelling reveal a diminutive geographical range f",Recherche de fèces avec chiens,Fèces,"['Perturbation du comportement naturel', ""Modification de l'habitat""]","['Searches for faecal samples were conducted during June \uf732\uf730\uf730\uf733-October \uf732\uf730\uf731\uf732 by one or more observers and a handler with two scat detection dogs.', 'We collected 555 deer scat samples from 30 of the 46 surveyed areas.']",Invasif,"Le protocole implique l'utilisation de chiens pour détecter les fèces, ce qui peut perturber le comportement naturel des animaux et modifier leur habitat. Cela remplit donc le critère d'invasivité lié à la modification du comportement.",['1'],"85% - Les termes utilisés dans le protocole sont clairs, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,"Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole 'Recherche de fèces avec chiens' est mentionné dans le titre mais il n'est pas présenté comme non invasif. Dans le corps de l'article, il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif."
gyv160,Collecte de fèces de mammifères,Fèces,"['Perturbation du comportement naturel', 'Impact sur le marquage territorial', ""Perturbation de l'habitat"", 'Modification du comportement naturel']","['From June through August of 2009, black bear and coyote scats were collected along roads and in areas adjacent to roads across La Poile (~1,700 km 2 ) and the Northern Peninsula (~2,000 km 2 ) using a trained scat detection dog (MacKay et al. 2008).', 'In 2012, scat detection dogs were transported via helicopter to remote locations within the Middle Ridge to locate black bear and coyote scats as part of a larger predator abundance survey.']",Invasif,"Le protocole implique la collecte de fèces dans des zones adjacentes aux routes et le transport de chiens détecteurs de fèces par hélicoptère jusqu'à des endroits éloignés, ce qui peut perturber l'habitat et modifier le comportement naturel des animaux. Cela remplit donc le critère d'invasivité.",[1],95% - Les informations sont claires et permettent une évaluation solide de l'invasivité.,Non,"Le passage ne contient pas de déclaration explicite ou implicite indiquant que la collecte de fèces de mammifères est non invasive. Au contraire, il est mentionné que des chiens sont utilisés pour détecter les fèces, ce qui peut être considéré comme une méthode invasive."
Methods Ecol Evol - 2016 - Bylemans - An environmental DNA‐based method for monitoring spawning activity  a case study,Collecte d'ADN environnemental chez les poissons,Echantillons d'ADN environnemental,[],"['Experimental fish, 18 one-year old Macquarie perch, were sourced from the Narrandera Fisheries Centre (NFC) (NSW Department of Primary Industries)', 'Water samples (50 mL) were collected prior to stocking tanks with experimental animals', 'After introducing experimental animals to the tanks, five samples were collected over a 14-day period for each tank', 'Over three sampling events (October 20, November 7 and December 3), environmental DNA of all collected samples was captured by filtering water samples immediately']",Non invasif,"Le protocole décrit la collecte d'échantillons d'ADN environnemental à partir de l'eau, ce qui est considéré comme non invasif selon les règles spécifiques pour les poissons. Il n'y a pas de capture ou manipulation des animaux vivants et les échantillons sont prélevés sans perturbation significative de l'habitat.",[],100% - La méthodologie est explicitement détaillée et ne présente aucun signe d'alarme.,,
1-s2.0-S000632071630088X-main,Echantillonnage d'ADN environnemental,ADN environnemental (eDNA),"['Capture de poissons', 'Modification du comportement naturel']","['In November 2013 and early March 2014, water samples were collected as described above from nine sites in the LRMW.', 'Fyke net surveys were carried out concurrent to eDNA sampling by placing three nets (6 m single-leader, 5 mm half mesh) at each site immediately after water samples were taken.', ""DNA was PCR-amplified using two fusion primer sets: a vertebratespecific 12S ribosomal DNA (rDNA) primer pair [...], Extracts from the six NPR sites were initially amplified using only the 12S vertebrate-specific primer set, but following data analysis, 16S rDNA 'fish-specific' primers [...] were used to amplify extracts from three of the NPR sites [...], Both the vertebrate-specific 12S and fish-specific 16S markers were subsequently used for all LRMW extracts.""]",Invasif,"Le protocole implique l'utilisation de filets de pêche (Fyke nets) qui sont placés dans l'eau pour capturer les poissons. Cela représente un contact direct avec l'animal vivant et une modification du comportement naturel des poissons. Bien que le protocole utilise également l'ADN environnemental, la collecte d'ADN à partir de l'eau n'est pas invasive en soi.",[3],"80% - Justification : La méthodologie est détaillée, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Integrative Zoology - 2016 - WANG - Isolation of microsatellite loci and reliable genotyping using noninvasive samples of a,Collecte d'échantillons de cheveux et de fèces,Cheveux et fèces,"['Stress potentiellement causé par la collecte de fèces', 'Impact sur le marquage territorial']","['We collected hair and fecal samples...', 'Hair samples were collected from the sticky sap on a banyan tree...', 'Fecal samples were collected from 30 social groups across FS (20 groups) and CZ (10 groups)...']",Invasif,"Le protocole implique la collecte de fèces, ce qui peut être invasif selon les critères spécifiques aux mammifères. La collecte est effectuée sur des groupes sociaux, ce qui indique une approche systématique et exhaustive, ce qui est considéré comme invasif pour les fèces de mammifères.",[1],95% - Les termes utilisés dans le protocole sont clairs et permettent une évaluation solide.,Non,"Le titre de l'article mentionne explicitement 'noninvasive samples', mais il ne précise pas que la collecte d'échantillons de cheveux et de fèces est non invasive. Le corps de l'article ne contient aucune phrase indiquant explicitement que ce protocole est non invasif."
Integrative Zoology - 2016 - WANG - Isolation of microsatellite loci and reliable genotyping using noninvasive samples of a,Extraction d'ADN à partir de fèces,Fèces,[],['Extraction of DNA from fecal samples was conducted using...'],Non invasif,"La méthode utilisée pour extraire l'ADN à partir des échantillons de fèces ne mentionne pas la capture ou la manipulation des animaux. De plus, le terme 'fécal' indique que les échantillons ont été collectés naturellement.",[],70% - Implicite fort,,
Wildlife Society Bulletin - December 2016 - Morin - Bias in carnivore diet analysis resulting from misclassification of,Collecte et traitement des échantillons de fèces,Fèces,"[""Perturbation de l'habitat"", 'Stress potentiellement causé aux animaux dont les fèces ont été prélevées']","['We collected carnivore scat samples along 16 established 5-km transects once per month from June 2011 to May 2012.', 'We stored diet scat samples at À208 C, then thawed and washed scats through a series of progressively finer mesh sieves, manually separating diet items into piles of materials such as bones, teeth, hair, feathers, fruits, seeds, and debris.']",Invasif,"Le protocole implique la collecte et le traitement des fèces de manière systématique, ce qui est considéré comme invasif selon les critères spécifiques aux mammifères.",[1],95% - Les termes utilisés dans le protocole sont clairs et permettent une évaluation solide.,Non,"Le titre de l'article 'Bias in Carnivore Diet Analysis Resulting from Misclassification of Predator Scats Based on Field Identification' indique clairement que le protocole utilisé est sujet à des erreurs et des biais, mais il ne mentionne pas explicitement qu'il est non invasif. De plus, le corps de l'article ne contient aucune phrase indiquant explicitement que la collecte et le traitement des échantillons de fèces sont non invasifs."
Samplesdiversityaddvaluestonon-invasivegeneticassessmentofpinemartenpopulationinGallowayForest,Échantillonnage d'ADN chez les mammifères,Cheveux (hair) et fèces (scat),"['Perturbation du comportement naturel', ""Modification de l'habitat""]","['This study demonstrates that non-invasive sampling methods offer an effective means of obtaining a range of data on pine marten populations at a low density', 'Therefore, future studies aiming to determine pine marten population size and density through non-invasive sampling should incorporate the collection of both hair and scat samples in order to detect as many individuals within the population as possible', 'This study is the first in Britain to use genotyping of both hair and scat samples', 'The majority of recent non-invasive studies of pine marten population size and density have used sampling and genotyping of hairs only']",Invasif,"Le protocole implique le prélèvement de fèces, qui peut être invasif selon les règles spécifiques aux mammifères. La collecte de cheveux peut être considérée comme non invasive si elle est opportuniste et ne perturbe pas l'animal ou son habitat.",[2],75% - Implicite fort,Non,Le titre de l'article mentionne 'non-invasive genetic assessment' mais ne spécifie pas que le protocole d'échantillonnage d'ADN chez les mammifères est non invasif. Le corps de l'article ne contient aucune phrase indiquant explicitement que ce protocole est non invasif.
Samplesdiversityaddvaluestonon-invasivegeneticassessmentofpinemartenpopulationinGallowayForest,Échantillonnage d'ADN chez les mammifères,Cheveux (poils),"[""Perturbation de l'habitat"", 'Modification du comportement naturel']","['Sample collection was undertaken during September and October 2014.', 'Hair tubes were installed within 10 m of the forest track and were fixed vertically to the trunk of a tree using wire, approximately 1 m off the ground.']",Invasif,"Les tubes à poils ont été installés et fixés sur les troncs d'arbres, ce qui implique une modification de l'habitat. Cela peut perturber le comportement naturel des animaux.",[3],100% - La méthodologie est explicitement détaillée.,Non,Le titre de l'article mentionne 'non-invasive genetic assessment' mais ne spécifie pas que le protocole d'échantillonnage d'ADN chez les mammifères est non invasif. Le corps de l'article ne contient aucune phrase indiquant explicitement que ce protocole est non invasif.
Samplesdiversityaddvaluestonon-invasivegeneticassessmentofpinemartenpopulationinGallowayForest,Échantillonnage d'ADN chez les mammifères,Poils,"['Modification du comportement naturel des animaux', ""Attraction indésirable d'autres espèces""]","['The proportion of hairs confirmed as pine marten by DNA analysis was relatively high', 'During hair sampling, many of the glue patches became saturated with flies attracted to the meat bait']",Invasif,"L'utilisation d'appâts à base de viande pour attirer les animaux modifie leur comportement naturel, ce qui est contraire à la définition de l'échantillonnage non invasif. Cela remplit le critère d'invasivité lié à l'utilisation d'appâts ou leurres modifiant le comportement.",[2],100% - Les termes utilisés et la méthodologie sont explicitement décrits.,Non,Le titre de l'article mentionne 'non-invasive genetic assessment' mais ne spécifie pas que le protocole d'échantillonnage d'ADN chez les mammifères est non invasif. Le corps de l'article ne contient aucune phrase indiquant explicitement que ce protocole est non invasif.
